
==================================================================
| IO Statistics                                                  |
|                                                                |
| Duration: 300.408637 secs                                      |
| Interval:   1 secs                                             |
|                                                                |
| Col 1: tcp                                                     |
|     2: tcp.analysis.lost_segment                               |
|     3: tcp.analysis.retransmission                             |
|----------------------------------------------------------------|
|            |1                |2               |3               |
| Interval   | Frames |  Bytes | Frames | Bytes | Frames | Bytes |
| 251 <> 252 |      4 |    525 |      0 |     0 |      0 |     0 |
| 252 <> 253 |     15 |   1563 |      0 |     0 |      0 |     0 |
| 253 <> 254 |      4 |    264 |      0 |     0 |      0 |     0 |
| 254 <> 255 |      0 |      0 |      0 |     0 |      0 |     0 |
| 255 <> 256 |     12 |   1203 |      0 |     0 |      0 |     0 |
| 256 <> 257 |      7 |    600 |      0 |     0 |      0 |     0 |
| 257 <> 258 |      4 |    344 |      0 |     0 |      0 |     0 |
| 258 <> 259 |      0 |      0 |      0 |     0 |      0 |     0 |
| 259 <> 260 |      5 |    436 |      0 |     0 |      0 |     0 |
| 260 <> 261 |      0 |      0 |      0 |     0 |      0 |     0 |
| 261 <> 262 |      6 |    469 |      0 |     0 |      0 |     0 |
| 262 <> 263 |      6 |    918 |      0 |     0 |      0 |     0 |
| 263 <> 264 |    101 |  37113 |      1 |   127 |      0 |     0 |
| 264 <> 265 |      7 |    647 |      0 |     0 |      0 |     0 |
| 265 <> 266 |      2 |    132 |      0 |     0 |      0 |     0 |
| 266 <> 267 |     62 |  45054 |      0 |     0 |      0 |     0 |
| 267 <> 268 |      0 |      0 |      0 |     0 |      0 |     0 |
| 268 <> 269 |      4 |    288 |      0 |     0 |      0 |     0 |
| 269 <> 270 |      4 |    337 |      0 |     0 |      0 |     0 |
| 270 <> 271 |      4 |    322 |      0 |     0 |      0 |     0 |
| 271 <> 272 |      4 |    322 |      0 |     0 |      0 |     0 |
| 272 <> 273 |     13 |   4116 |      0 |     0 |      0 |     0 |
| 273 <> 274 |     13 |   2266 |      0 |     0 |      0 |     0 |
| 274 <> 275 |      5 |    436 |      0 |     0 |      0 |     0 |
| 275 <> 276 |      3 |    250 |      0 |     0 |      0 |     0 |
| 276 <> 277 |      0 |      0 |      0 |     0 |      0 |     0 |
| 277 <> 278 |     10 |   1164 |      0 |     0 |      0 |     0 |
| 278 <> 279 |      0 |      0 |      0 |     0 |      0 |     0 |
| 279 <> 280 |     13 |   1106 |      0 |     0 |      0 |     0 |
| 280 <> 281 |      0 |      0 |      0 |     0 |      0 |     0 |
| 281 <> 282 |      8 |    847 |      0 |     0 |      0 |     0 |
| 282 <> 283 |      0 |      0 |      0 |     0 |      0 |     0 |
| 283 <> 284 |     22 |   6836 |      0 |     0 |      0 |     0 |
| 284 <> 285 |      0 |      0 |      0 |     0 |      0 |     0 |
