Interval,toatl_packet,Loss_packet,Loss_Bytes,Retrans_Frames,Retrans_Bytes,Throughput_Bytes_per_sec,loss_percent,loss_percent2
241-242,21,0,0,0,0,2723.0,0.0,0.0
242-243,15,0,0,0,0,2460.0,0.0,0.0
243-244,22,0,0,0,0,3056.0,0.0,0.0
244-245,110,1,150,0,0,36881.0,0.9090909090909091,0.9090909090909091
245-246,24,1,150,0,0,3208.0,4.166666666666666,4.166666666666666
246-247,46,0,0,0,0,13125.0,0.0,0.0
247-248,15,0,0,0,0,2114.0,0.0,0.0
248-249,15,0,0,0,0,2354.0,0.0,0.0
249-250,27,0,0,0,0,3639.0,0.0,0.0
250-251,34,2,276,0,0,4190.0,5.88235294117647,5.88235294117647
251-252,43,1,142,0,0,8376.0,2.3255813953488373,2.3255813953488373
252-253,35,0,0,0,0,10225.0,0.0,0.0
253-254,23,3,514,0,0,3046.0,13.043478260869565,13.043478260869565
254-255,30,2,276,0,0,3928.0,6.666666666666667,6.666666666666667
255-256,21,0,0,0,0,3730.0,0.0,0.0
256-257,22,0,0,0,0,3468.0,0.0,0.0
257-258,39,3,434,0,0,4776.0,7.6923076923076925,7.6923076923076925
258-259,25,2,276,0,0,3214.0,8.0,8.0
259-260,27,0,0,0,0,3524.0,0.0,0.0
260-261,18,1,150,0,0,2576.0,5.555555555555555,5.555555555555555
261-262,36,1,150,0,0,5660.0,2.7777777777777777,2.7777777777777777
262-263,21,0,0,0,0,6222.0,0.0,0.0
263-264,58,1,97,0,0,19112.0,1.7241379310344827,1.7241379310344827
264-265,36,0,0,0,0,6699.0,0.0,0.0
265-266,27,0,0,0,0,3648.0,0.0,0.0
266-267,14,0,0,0,0,2186.0,0.0,0.0
267-268,12,0,0,0,0,2084.0,0.0,0.0
268-269,32,1,142,0,0,4316.0,3.125,3.125
269-270,25,0,0,0,0,4356.0,0.0,0.0
270-271,18,0,0,0,0,2584.0,0.0,0.0
271-272,14,0,0,0,0,2603.0,0.0,0.0
272-273,9,0,0,0,0,1832.0,0.0,0.0
273-274,17,0,0,0,0,3630.0,0.0,0.0
274-275,32,1,230,0,0,4300.0,3.125,3.125
275-276,28,0,0,0,0,3656.0,0.0,0.0
276-277,30,0,0,0,0,4907.0,0.0,0.0
277-278,31,0,0,0,0,5261.0,0.0,0.0
278-279,12,0,0,0,0,2084.0,0.0,0.0
279-280,26,1,142,0,0,3145.0,3.8461538461538463,3.8461538461538463
280-281,27,1,142,0,0,4016.0,3.7037037037037033,3.7037037037037033
281-282,28,0,0,0,0,3844.0,0.0,0.0
282-283,16,1,230,0,0,2354.0,6.25,6.25
283-284,14,0,0,0,0,2208.0,0.0,0.0
284-285,31,1,97,0,0,13531.0,3.225806451612903,3.225806451612903
285-286,104,5,6014,0,0,75520.0,4.807692307692308,4.807692307692308
286-287,24,0,0,0,0,3339.0,0.0,0.0
287-288,15,0,0,0,0,2460.0,0.0,0.0
288-289,12,0,0,0,0,2024.0,0.0,0.0
289-290,9,0,0,0,0,1762.0,0.0,0.0
290-291,21,0,0,0,0,2918.0,0.0,0.0
291-292,0,0,0,0,0,0.0,0,0
292-293,0,0,0,0,0,0.0,0,0
293-294,0,0,0,0,0,0.0,0,0
294-295,0,0,0,0,0,0.0,0,0
295-296,233,3,2858,4,3902,98898.0,1.2875536480686696,3.004291845493562
296-297,16,0,0,2,132,9672.0,0.0,12.5
297-298,14,0,0,0,0,2432.0,0.0,0.0
298-299,16,0,0,0,0,2276.0,0.0,0.0
299-300,23,0,0,0,0,4238.0,0.0,0.0
300-301,13,0,0,0,0,2134.0,0.0,0.0
301-Dur,2,0,0,0,0,132.0,0.0,0.0
